GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AB-19,564.38,287.58,1.16,0.91,0.74,359.79,13.79,200.81,18.48,276.42,1.68,47.28,0.85,0.2,0.34,2.1,16.91,102.64,8.74,1.1018,0.6133,16.001,15.138,25.173,27.392,23.063,20.616,40.537,32.082
AB-20,548.81,288.02,2.23,0.97,0.74,309.65,12.81,182.8,19.21,260.86,1.32,47.2,1,0.08,0.33,1.95,20.09,85.23,7.83,1.1264,0.6072,14.95,14.042,27.08,29.399,21.619,20.332,40.604,33.091
AB-21,517.96,254.93,2.57,1.47,1.05,269.13,27.89,220.11,20.21,290.07,1.71,50.2,0.71,0.04,0.14,9.18,44.49,102.68,24.01,1.0593,0.6235,14.924,14.123,28.592,30.924,20.809,20.629,40.765,33.554
AB-8,617.28,91.02,5.22,1.36,1.22,422.56,20.02,261.67,0,0,0,43.61,1.5,0.09,0.25,0.96,52.85,94.33,11.2,1.0918,0.6352,18.251,18.501,26.713,26.712,20.233,18.115,40.687,31.683
AB-9,521.43,83.58,7.51,1.23,1.11,484.41,27.17,103.39,0,0,0,43.94,1.15,0.19,0.31,1.08,65.9,100.77,14.36,1.131,0.6454,18.595,19.459,26.394,26.561,21.805,18.163,39.164,30.085
AC-10,518.01,45.16,0.47,1.23,0.89,529.78,29.96,233.44,0,0,0,0,2.6,0.13,0.09,0,63.41,107.02,15.95,0,0,0,0,0,0,0,0,0,0
AC-13,566.73,49.32,6.07,1.37,1.15,420.03,24.71,192.78,0,0,0,45.27,1.78,0.08,0.12,0,43.98,127.65,16.74,1.0784,0.6265,18.128,17.377,25.432,26.727,24.836,21.458,38.442,30.593
AC-14,568.86,246.48,3.81,1.36,1.25,458.82,19.18,137.78,16.05,271.81,2.91,45.33,2.69,0.32,0.25,2.11,45.36,88.21,11.64,1.131,0.6347,17.963,17.804,25.81,26.187,22.517,20.082,39.993,31.576
AC-15,549.46,180.95,1.52,1.26,1.05,425.02,14.8,172.37,0,0,0,47.99,2.97,0.26,0.07,1.2,14.74,94.74,10.39,1.0916,0.6231,16.979,16.438,26.959,26.817,22.108,19.639,39.055,31.139
AC-16,496.55,129.33,0.94,1.21,0.88,367.44,26.06,191.14,0,0,0,48.95,2.34,0.18,0.27,2.94,36.36,103.8,18.47,1.0596,0.6163,15.883,16,27.133,28.18,24.125,21.216,37.682,30.762
AC-18,515.86,259.54,2.44,1.15,0.94,370.27,25.77,215.82,19.65,248.29,2.24,47.16,1.54,0.04,0.31,1.31,34.05,108.45,21.7,1.1279,0.6234,15.914,14.949,25.834,27.721,23.994,21.309,38.94,31.342
AC-19,520.04,259.64,1.9,1.11,0.91,346.15,13.81,206.49,19.22,276.92,0.87,49.55,2.26,0.21,0.21,6.8,20.26,79.6,10.06,1.1356,0.6103,16.136,15.044,25.919,28.177,22.578,20.357,40.313,32.032
AC-20,517.35,248.3,0.97,0.92,0.8,316.87,15.33,208.4,18.83,225.65,5.18,65.62,1.64,0.06,0.23,10.17,18.96,101.06,9.38,1.084,0.6118,15.175,14.293,26.428,29.238,22.057,20.733,41.027,33.375
AC-21,550.79,256.13,2.06,1.51,1.31,270.78,25.66,182.62,19.55,271.78,1.47,56.81,1.85,0.23,0.22,11.8,53.15,87.04,19.91,1.0733,0.6161,14.938,14.722,27.876,30.455,21.262,21.528,41.3,33.49
AC-22,554.65,238.84,3.45,1.44,1.31,299.25,36.5,206.73,19.65,275.53,0.76,40.39,1.33,0.16,0.01,6.42,67.46,114.44,23.42,1.0605,0.6121,15.023,15.336,25.782,28.703,24.943,22.8,39.294,32.564
