GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AN-24,525.68,233.73,2.2,1.23,1,264.37,9.35,133.35,19.74,283.01,1.79,64.61,0.11,0.13,0.35,2.41,15.89,84.82,6.73,1.1585,0.6151,15.544,14.242,30.631,30.357,17.236,17.94,41.865,33.628
AN-25,560.35,244.69,1.35,0.94,0.76,257.34,9.16,131.91,19.1,284.3,1.81,64.55,1.49,0.16,0.34,1.7,15.21,97.78,7.79,1.1539,0.6148,14.972,13.482,28.964,29.161,18.335,19.247,42.558,33.917
AN-26,570.27,261.58,4.09,1.03,0.72,247.65,10.85,139.91,19.56,282.38,1.89,64.12,2.24,0.08,0.37,2.27,12.59,99.09,8,1.1539,0.6111,15.307,13.65,28.554,29.318,19.166,20.23,42.7,34.065
AN-27,583.32,290.19,3.27,1.3,1.05,242.47,10.41,146.22,20.89,269.83,2.82,65.34,1.53,0.06,0.25,2.24,11.63,106.43,8.57,1.1561,0.6115,15.793,13.792,28.323,30.04,20.191,21.743,42.769,34.253
AN-28,590.41,302.66,7.49,1.09,0.98,232.45,9.57,185.18,21.36,279.5,1.68,65.8,1.78,0.06,0.12,2.08,10.05,120.98,7.38,1.1606,0.616,15.921,13.983,27.544,29.613,20.715,22.885,43.789,35.019
AN-29,590.28,267.25,4.55,1.22,0.97,249.83,10.16,182.59,21.96,274.07,1.49,64.91,1.53,0.04,0.2,2.11,10.87,128.12,7.65,1.1593,0.6204,15.817,14.374,28.717,30.865,19.688,22.541,44.391,35.604
AN-30,578.95,193.88,0.81,0.67,0.38,272.71,8.71,181.51,22.07,266.5,2.55,65.19,0.68,0.05,0.29,2.52,10.21,119.61,6.36,1.1537,0.6185,16.743,15.695,29.348,30.82,20.597,23.089,41.905,34.426
AN-31,547.35,263.48,2.05,1.01,0.82,266.35,12.93,181.94,22.4,274.85,1.55,60.84,0.31,0.04,0.03,5.32,13.36,118.66,9.41,1.1536,0.6249,16.232,14.836,27.911,29.83,19.962,21.801,43.322,34.718
AO-20,502.55,252.74,3.29,1.26,1.01,312.97,9.16,168.41,19.66,273.96,2.09,71.36,0.53,0.07,0.1,2.42,10.87,95.89,7.04,1.1694,0.612,15.927,14.655,27.378,28.687,20.847,20.781,41.703,33.466
AO-21,537.1,275.08,4.98,1.37,1.15,294.69,11.36,158.44,20.52,275.41,2.06,42.16,0.54,0.04,0.14,16.49,16.29,90.31,8.27,1.1633,0.6136,15.135,13.927,29.508,29.551,18.631,19.438,41.889,33.52
AO-22,546.3,278.02,6.35,1.36,1.23,268.51,15.26,165.03,20.88,289.9,1.56,39.23,0.67,0.1,0.03,13.36,15.97,95.61,11.28,1.1535,0.6176,14.8,13.258,28.47,28.971,19.511,20.109,42.187,33.464
AO-23,520.16,254.84,4.48,1.4,1.14,258.65,8.54,162.35,21.11,282.42,2.55,64.74,1.29,0.04,0.42,2.07,11.48,100.68,5.92,1.1648,0.6181,15.752,14.216,29.949,30.338,19.013,19.854,41.529,33.668
AO-24,554,274.27,3.67,1.33,1.06,245.08,7.63,167.45,20.85,283.08,2.04,65.98,1.27,0.04,0.67,1.73,9.43,94.41,6.79,1.1598,0.6198,15.679,14.137,30.364,30.393,20.372,21.646,40.218,33.445
AO-25,552.05,219.96,2.41,1.03,0.71,237.73,6.96,153.19,20.51,283.05,1.42,66.11,2.83,0.11,0.25,1.99,11.59,95.91,5.22,1.1587,0.6189,16.186,14.54,29.348,30.511,21.945,23.429,40.038,33.855
AO-26,548.06,246.57,2.92,0.91,0.72,224.86,5.57,182.85,20.5,269.37,2.61,66.73,2.04,0.08,0.06,1.98,5.2,106.88,3.8,1.1644,0.6204,16.831,14.949,27.622,30.622,25.083,26.362,39.111,34.253
AO-27,564.81,228.09,3.57,1.35,0.92,223.81,5.74,187.09,21.27,269.41,1.95,67.24,1.11,0.09,0.06,2.14,5.86,108.24,4.28,1.1622,0.6203,16.957,15.171,27.919,30.553,23.96,26.108,40.239,34.612
AO-28,555.86,190.93,1.51,1.32,0.78,238.92,8.03,190.82,21.69,271.05,1.5,65.63,0.77,0.01,0.06,1.89,9.85,125.76,5.36,1.1556,0.6254,16.715,15.226,28.136,30.709,20.359,23.24,44.597,35.738
AO-29,584.58,240.26,0.89,0.92,0.64,261.62,8.11,174.78,21.32,271.29,1.93,66.09,1,0.04,0.26,2.54,9.16,123.87,6.98,1.1536,0.6228,16.811,15.888,29.579,31.328,21.559,24.491,41.293,34.471
AO-30,552.29,276.33,4.88,0.94,0.81,272.37,13.02,178.5,21.74,272.24,1.6,67.24,0.75,0.04,0.5,4.04,20.49,99.59,9.03,1.1547,0.6187,16.129,15.032,28.313,29.526,16.987,18.266,44.682,34.665
